GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED,team,team_id,players_list
Lineups,-203468-1629638-1630168-1630552-1630700-,C. McCollum - N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels,28,19,9,0.679,362.556667,356,710,0.501,122,287,0.425,142,177,0.802,95,259,354,239,94.0,74,33,39,144,135,976,181.0,2,1,479,211,1,1,1,151,1,1,149,1,1,126,1,1,1,1,482,1,1,482,482,1,1,1,1087670,Atlanta Hawks,1610612737,"['C. McCollum', 'N. Alexander-Walker', 'O. Okongwu', 'J. Johnson', 'D. Daniels']"
Lineups,-1628379-1630552-1630700-1630811-1631243-,L. Kennard - J. Johnson - D. Daniels - K. Wallace - M. Gueye,2,1,1,0.5,5.266667,7,10,0.7,3,5,0.6,0,0,0.0,1,1,2,4,0.0,1,0,0,1,0,17,3.0,139,142,185,253,160,103,158,57,84,134,57,254,270,254,160,289,261,119,1,121,167,1,131,321,128,108,15800,Atlanta Hawks,1610612737,"['L. Kennard', 'J. Johnson', 'D. Daniels', 'K. Wallace', 'M. Gueye']"
Lineups,-1629216-1629638-1630168-1630228-1630552-,G. Vincent - N. Alexander-Walker - O. Okongwu - J. Kuminga - J. Johnson,5,3,2,0.6,5.25,4,12,0.333,2,6,0.333,3,4,0.75,0,2,2,3,0.0,0,1,1,3,6,13,2.0,45,47,388,240,161,169,147,315,118,115,185,85,88,144,249,221,261,151,1,247,74,314,336,39,152,138,15750,Atlanta Hawks,1610612737,"['G. Vincent', 'N. Alexander-Walker', 'O. Okongwu', 'J. Kuminga', 'J. Johnson']"
Lineups,-203468-1630168-1630552-1630557-1630700-,C. McCollum - O. Okongwu - J. Johnson - C. Kispert - D. Daniels,3,1,2,0.333,5.216667,5,11,0.455,1,4,0.25,0,0,0.0,2,7,9,3,2.0,1,1,0,1,3,11,4.0,91,142,388,317,162,142,150,227,166,163,229,254,270,254,86,73,77,151,313,121,74,1,131,100,170,83,15650,Atlanta Hawks,1610612737,"['C. McCollum', 'O. Okongwu', 'J. Johnson', 'C. Kispert', 'D. Daniels']"
Lineups,-204001-1628379-1629638-1630249-1630552-,K. Porziņģis - L. Kennard - N. Alexander-Walker - V. Krejčí - J. Johnson,4,3,1,0.75,5.213333,7,10,0.7,4,7,0.571,2,2,1.0,1,5,6,6,2.0,1,0,1,3,2,20,8.0,67,47,185,195,163,103,158,57,61,98,65,123,155,1,160,112,131,82,313,121,167,314,336,156,102,34,15640,Atlanta Hawks,1610612737,"['K. Porziņģis', 'L. Kennard', 'N. Alexander-Walker', 'V. Krejčí', 'J. Johnson']"
Lineups,-1629638-1630168-1630552-1630811-1642258-,N. Alexander-Walker - O. Okongwu - J. Johnson - K. Wallace - Z. Risacher,3,2,1,0.667,5.198333,2,8,0.25,1,5,0.2,0,0,0.0,0,5,5,2,6.0,0,0,1,4,0,5,-11.0,91,82,185,212,164,242,181,367,166,134,259,254,270,254,249,112,159,190,442,247,167,314,371,321,271,457,15595,Atlanta Hawks,1610612737,"['N. Alexander-Walker', 'O. Okongwu', 'J. Johnson', 'K. Wallace', 'Z. Risacher']"
Lineups,-204001-1629027-1629638-1630552-1642258-,K. Porziņģis - T. Young - N. Alexander-Walker - J. Johnson - Z. Risacher,1,0,1,0.0,5.133333,6,11,0.545,2,5,0.4,5,6,0.833,2,6,8,6,2.0,0,1,0,2,6,19,10.0,226,335,185,335,165,124,150,127,118,134,156,53,59,116,86,89,96,82,313,247,74,1,264,39,110,25,15400,Atlanta Hawks,1610612737,"['K. Porziņģis', 'T. Young', 'N. Alexander-Walker', 'J. Johnson', 'Z. Risacher']"
Lineups,-203468-1628379-1630168-1630557-1631243-,C. McCollum - L. Kennard - O. Okongwu - C. Kispert - M. Gueye,1,0,1,0.0,5.125,2,8,0.25,1,4,0.25,2,2,1.0,1,3,4,1,2.0,2,0,2,1,2,7,-3.0,226,335,185,335,166,242,181,367,166,163,229,123,155,1,160,177,181,256,313,67,167,413,131,156,237,345,15375,Atlanta Hawks,1610612737,"['C. McCollum', 'L. Kennard', 'O. Okongwu', 'C. Kispert', 'M. Gueye']"
Lineups,-1629111-1629216-1630228-1630557-1642258-,J. Landale - G. Vincent - J. Kuminga - C. Kispert - Z. Risacher,2,2,0,1.0,5.116667,5,9,0.556,1,4,0.25,0,0,0.0,1,2,3,3,1.0,0,0,1,1,4,11,-2.0,139,82,1,1,167,142,171,119,166,163,229,254,270,254,160,221,216,151,190,247,167,314,131,74,170,291,15350,Atlanta Hawks,1610612737,"['J. Landale', 'G. Vincent', 'J. Kuminga', 'C. Kispert', 'Z. Risacher']"
Lineups,-1628379-1629638-1630552-1630811-1631243-,L. Kennard - N. Alexander-Walker - J. Johnson - K. Wallace - M. Gueye,3,2,1,0.667,5.116667,3,7,0.429,0,3,0.0,2,2,1.0,0,2,2,1,2.0,1,0,0,3,1,8,-6.0,91,82,185,212,167,199,200,246,279,198,279,123,155,1,249,221,261,256,313,121,167,1,336,216,220,424,15350,Atlanta Hawks,1610612737,"['L. Kennard', 'N. Alexander-Walker', 'J. Johnson', 'K. Wallace', 'M. Gueye']"
Lineups,-1628379-1630168-1630249-1630700-1642258-,L. Kennard - O. Okongwu - V. Krejčí - D. Daniels - Z. Risacher,2,0,2,0.0,4.933333,4,10,0.4,1,6,0.167,3,4,0.75,1,3,4,1,2.0,1,0,0,3,3,12,-4.0,139,335,388,335,169,169,158,272,166,115,271,85,88,144,160,177,181,256,313,121,167,1,336,100,162,384,14800,Atlanta Hawks,1610612737,"['L. Kennard', 'O. Okongwu', 'V. Krejčí', 'D. Daniels', 'Z. Risacher']"
Lineups,-1630811-1631216-1631243-1642484-1642854-,K. Wallace - C. Houstan - M. Gueye - R. Dennis - A. Newell,1,0,1,0.0,4.916667,7,10,0.7,2,5,0.4,2,2,1.0,0,2,2,7,1.0,2,0,0,3,2,18,12.0,226,335,185,335,170,103,158,57,118,134,156,123,155,1,249,221,261,68,190,67,167,1,336,156,116,19,14750,Atlanta Hawks,1610612737,"['K. Wallace', 'C. Houstan', 'M. Gueye', 'R. Dennis', 'A. Newell']"
Lineups,-1628379-1630249-1630811-1642258-1642854-,L. Kennard - V. Krejčí - K. Wallace - Z. Risacher - A. Newell,2,0,2,0.0,4.916667,4,7,0.571,2,4,0.5,0,0,0.0,0,4,4,2,3.0,2,1,0,1,0,10,1.0,139,335,388,335,170,169,200,110,118,163,78,254,270,254,249,142,181,190,373,67,74,1,131,321,182,171,14750,Atlanta Hawks,1610612737,"['L. Kennard', 'V. Krejčí', 'K. Wallace', 'Z. Risacher', 'A. Newell']"
Lineups,-1630168-1630249-1630811-1642258-1642854-,O. Okongwu - V. Krejčí - K. Wallace - Z. Risacher - A. Newell,2,1,1,0.5,4.9,3,7,0.429,0,3,0.0,0,0,0.0,0,6,6,2,4.0,0,1,0,3,1,6,-1.0,139,142,185,253,172,199,200,246,279,198,279,254,270,254,249,89,131,190,403,247,74,1,336,216,253,263,14700,Atlanta Hawks,1610612737,"['O. Okongwu', 'V. Krejčí', 'K. Wallace', 'Z. Risacher', 'A. Newell']"
Lineups,-1628379-1630168-1630811-1642258-1642854-,L. Kennard - O. Okongwu - K. Wallace - Z. Risacher - A. Newell,2,1,1,0.5,4.866667,2,7,0.286,1,5,0.2,0,0,0.0,0,3,3,2,3.0,0,2,2,3,1,5,-13.0,139,142,185,253,173,242,200,358,166,134,259,254,270,254,249,177,216,190,373,247,33,413,336,216,271,469,14600,Atlanta Hawks,1610612737,"['L. Kennard', 'O. Okongwu', 'K. Wallace', 'Z. Risacher', 'A. Newell']"
Lineups,-1629216-1630557-1630811-1631243-1642258-,G. Vincent - C. Kispert - K. Wallace - M. Gueye - Z. Risacher,2,2,0,1.0,4.833333,2,7,0.286,0,4,0.0,2,3,0.667,0,7,7,1,2.0,0,0,0,3,1,6,0.0,139,82,1,1,174,242,200,358,279,163,279,123,122,172,249,73,110,256,313,247,167,1,336,216,253,202,14500,Atlanta Hawks,1610612737,"['G. Vincent', 'C. Kispert', 'K. Wallace', 'M. Gueye', 'Z. Risacher']"
Lineups,-203468-1629111-1630552-1630700-1642258-,C. McCollum - J. Landale - J. Johnson - D. Daniels - Z. Risacher,2,2,0,1.0,4.766667,2,7,0.286,1,3,0.333,1,2,0.5,1,5,6,2,5.0,1,3,1,2,3,6,-2.0,139,82,1,1,175,242,200,358,166,198,185,193,155,203,160,112,131,190,428,121,18,314,264,100,253,291,14300,Atlanta Hawks,1610612737,"['C. McCollum', 'J. Landale', 'J. Johnson', 'D. Daniels', 'Z. Risacher']"
